name|video|start|end|speaker|orth|translation
11August_2010_Wednesday_tagesschau-1|11August_2010_Wednesday_tagesschau-1/1/*.png|-1|-1|Signer08|JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR|und nun die wettervorhersage für morgen donnerstag den zwölften august
11August_2010_Wednesday_tagesschau-4|11August_2010_Wednesday_tagesschau-4/1/*.png|-1|-1|Signer08|ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN|mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich
11August_2010_Wednesday_tagesschau-5|11August_2010_Wednesday_tagesschau-5/1/*.png|-1|-1|Signer08|NORDWEST HEUTE NACHT TROCKEN BLEIBEN SUEDWEST KOENNEN REGEN ORT GEWITTER DAZU|im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner
11August_2010_Wednesday_tagesschau-6|11August_2010_Wednesday_tagesschau-6/1/*.png|-1|-1|Signer08|TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN|auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen
11August_2010_Wednesday_tagesschau-7|11August_2010_Wednesday_tagesschau-7/1/*.png|-1|-1|Signer08|WOLKE LOCH SPEZIELL NORDWEST|größere wolkenlücken finden sich vor allem im nordwesten
11August_2010_Wednesday_tagesschau-9|11August_2010_Wednesday_tagesschau-9/1/*.png|-1|-1|Signer08|FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD|im emsland heute nacht nur neun am oberrhein bis siebzehn grad
11August_2010_Wednesday_tagesschau-10|11August_2010_Wednesday_tagesschau-10/1/*.png|-1|-1|Signer08|MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD|morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad
11August_2010_Wednesday_tagesschau-11|11August_2010_Wednesday_tagesschau-11/1/*.png|-1|-1|Signer08|FREITAG OST KOENNEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN|am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr
11August_2010_Wednesday_tagesschau-12|11August_2010_Wednesday_tagesschau-12/1/*.png|-1|-1|Signer08|REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE|sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten
11August_2010_Wednesday_tagesschau-13|11August_2010_Wednesday_tagesschau-13/1/*.png|-1|-1|Signer08|TEMPERATUR BLEIBEN GLEICH|am temperaturniveau ändert sich wenig
25October_2010_Monday_tagesschau-14|25October_2010_Monday_tagesschau-14/1/*.png|-1|-1|Signer01|MORGEN WETTER WIE-AUSSEHEN DIENSTAG SECHS ZWANZIG OKTOBER|und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober
25October_2010_Monday_tagesschau-15|25October_2010_Monday_tagesschau-15/1/*.png|-1|-1|Signer01|ITALIEN IX TIEF DRUCK KOMMEN HEUTE NACHT BERG SCHNEE REGEN|das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet
